JCR Year and Edition: 2012 Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
COMPUT PHYS COMMUN;0010-4655;11294;3.078;3.212;1.089;271;8.6;0.03235;1.436;
COMPUT SCI ENG;1521-9615;832;1.729;1.676;0.250;56;5.9;0.00368;0.843;
COMPUT SCI INF SYST;1820-0214;101;0.549;;0.042;72;2.6;0.00061;;
COMPUT SECUR;0167-4048;927;1.158;1.430;0.183;60;6.8;0.00213;0.464;
COMPUT SPEECH LANG;0885-2308;682;1.463;1.423;0.174;23;9.7;0.00200;0.680;
COMPUT STAND INTER;0920-5489;768;0.978;1.420;0.259;54;4.8;0.00252;0.410;
COMPUT STAT DATA AN;0167-9473;4718;1.304;1.449;0.415;325;5.8;0.02586;0.917;
COMPUT STRUCT;0045-7949;7324;1.509;2.000;0.287;143;>10.0;0.01393;0.968;
COMPUT SUPP COOP W J;0925-9724;353;0.605;;0.250;16;8.4;0.00061;;
COMPUT SYST SCI ENG;0267-6192;92;0.076;0.174;0.348;23;;0.00015;0.050;
COMPUT VIS IMAGE UND;1077-3142;2952;1.232;2.202;0.205;88;7.5;0.01093;1.230;
COMPUT-AIDED CIV INF;1093-9687;1315;4.460;3.326;0.623;53;5.0;0.00266;0.689;
COMPUTAT GEOSCI;1420-0597;605;1.422;1.688;0.221;68;4.9;0.00273;0.786;
COMPUTER;0018-9162;3969;1.675;2.403;0.180;100;9.3;0.00942;1.207;
COMPUTING;0010-485X;1114;0.807;0.964;0.109;46;>10.0;0.00251;0.643;
CONCURR COMP-PRACT E;1532-0626;904;0.845;0.790;0.276;152;4.7;0.00336;0.297;
CONCURRENT ENG-RES A;1063-293X;298;0.542;0.825;0.000;24;7.4;0.00057;0.272;
CONNECT SCI;0954-0091;318;0.706;0.816;0.000;6;9.7;0.00062;0.405;
CONSTRAINTS;1383-7133;213;0.737;0.895;0.000;16;6.9;0.00106;0.636;
CRYPTOLOGIA;0161-1194;73;0.233;0.226;0.056;18;;0.00009;0.043;
CURR COMPUT-AID DRUG;1573-4099;280;1.540;1.750;0.125;24;4.4;0.00077;0.365;
CYBERNET SYST;0196-9722;453;0.973;0.814;0.237;38;8.0;0.00076;0.223;
DATA KNOWL ENG;0169-023X;1279;1.519;1.710;0.268;41;5.6;0.00439;0.603;
DATA MIN KNOWL DISC;1384-5810;1684;2.877;2.643;0.581;43;>10.0;0.00391;1.426;
DECIS SUPPORT SYST;0167-9236;3895;2.201;3.037;0.196;209;5.9;0.00989;0.863;
DES AUTOM EMBED SYST;0929-5585;59;0.286;0.435;0.000;7;;0.00018;0.150;
DESIGN CODE CRYPTOGR;0925-1022;874;0.779;0.748;0.177;113;6.9;0.00524;0.664;
DIGIT INVEST;1742-2876;182;0.630;0.768;0.111;36;4.3;0.00043;0.149;
DISCRETE COMPUT GEOM;0179-5376;1278;0.649;0.741;0.140;93;>10.0;0.00587;0.806;
DISCRETE MATH THEOR;1462-7264;212;0.598;0.597;0.062;32;6.0;0.00205;0.667;
DISPLAYS;0141-9382;784;1.101;1.360;0.061;33;7.4;0.00169;0.458;
DISTRIB COMPUT;0178-2770;350;0.627;0.872;0.231;26;8.7;0.00158;0.723;
